,app_name,text,rating,thumbs_up_count,label_gold,summary_gold,lable_silver_common_AI
0,Telegram,"Приложение сломано на Android 16. Бесконечное «Соединение...», хотя весь остальной интернет с VPN работает идеально. Полностью сломалась синхронизация облака: на ПК все папки и чаты на месте, а на телефоне отображается только малая часть. Сотни чатов просто исчезли из интерфейса! Новые действия с ПК телефон полностью игнорирует. Сброс кэша через отладку не помогает. Разработчики, чините сетевую пагинацию и работу с базой на свежих версиях Android, это позор.",1,0,,,bug_report
1,Telegram,"приложение супер.🔥 одно из любимых.всегда смотрю там фильмы , много классных ботов и каналов .🤍вот только жаль , например если я сделаю аккаунт на другой номер и на другой емайл , то я не смогу его восстановить без пароля на тот другой эмейл, я так уже потеряла свой аккаунт , а он мне очень нужен был 💔обидно (( разработчики , сделайте что-нибудь пожалуйста )✨",5,0,,,bug_report
2,Telegram,много визуальных багов после редизайна,3,0,,,bug_report
3,Telegram,Ван Пис! Ван Пис существует!,5,0,,,user_experience
4,Telegram,хорошее,5,0,,,rating
5,Telegram,"х+у=.евое приложение. от слова совсем. вообще невозможно зарегистрироваться. звонки с кодом не поступают,смс тоже не приходит. и у службы поддержки язык в ж...е и руки там же и голова без мозгов. и это неисправимо .",1,0,,,bug_report
6,Telegram,я не магу забегался,1,0,,,user_experience
7,Telegram,"Не работает совсем,не зайти в телеграмм все чаты для работы не посмотреть ,все клиенты, кандидаты потеряны. Очень расстроилась . Купленная информация в телеграм потеряна ,так как не зайти не почитать очень не довольна Мне нравится больше всего этот мессенджер. А теперь все там ,не посмотреть рабочие чаты , каналы. Очень расстроена",5,0,,,bug_report
8,Telegram,"Не могу вести код с эл почты, пишет: ""Произошла ошибка""",3,0,,,bug_report
9,Telegram,"Почему у меня удалилось приложения и не могу его скачать, коды не приходят на почту",1,0,,,bug_report
10,Telegram,Не качается,1,0,,,bug_report
11,Telegram,5 звёзд. легенда.,5,0,,,rating
12,Telegram,"Рассадник педофилии! Жалуюсь на детскую порнографию в телеграмме, никто не реагирует. Видео как висели, так и висят.",1,0,,,user_experience
13,Telegram,"все приложение не работает вообще.не заходит,не грузит,вообще никак не реагирует",1,0,,,bug_report
14,Telegram,"это ОТВРАТИТЕЛЬНОЕ приложение!!!! Интерфейс просто отвратный, я еле как нашла кнопку поиска!!!",1,0,,,user_experience
15,Telegram,"если ркн не разблокируют телеграм, то через пару дней будут уничтожены. я найду вас... и убью.",5,0,,,user_experience
16,Telegram,очень хорошо сидеть в тг,5,0,,,user_experience
17,Telegram,"лагает часто, к примеру не могу сменить реакции в тгк уже очень давно, они просто не добавляются(я говорю об обычных, без премки) удалить да, получается, добавить или изменить нет",3,0,,,bug_report
18,Telegram,"Для частного канала НЕТУ КНОПКИ СОЗДАТЬ ТЕМУ ДЛЯ ВСЕХ В КАНАЛЕ И ЭТИМ ЭТО ТРУДНО, НЕТ, НА АЙФОНЕ ЕЩЕ ЛЕГКО, НО НА АНДРОИД 35 (ВИВО) ЭТО НЕЛЬЗЯ СДЕЛАТЬ, ОБНОВИТЕ ЭТО",3,0,,,user_experience
19,Telegram,"неплохое приложение, но вот меня взломали .. и идёт рассылка сообщений с просьбой дать денег.... и я ничего не могу сделать, чтоб восстановить свой доступ . Тех поддержка не отвечает.",2,0,,,bug_report
20,Telegram,крута,5,0,,,rating
21,Telegram,"работает, хоть и с трудом",5,1,,,user_experience
22,Telegram,"Всё супер, но сделайте, пожалуйста, быстрый доступ к прокси в нижнем левом углу, как сделано на версии дня ПК 🙏",5,42,,,feature_request
23,Telegram,ахуенное.,5,0,,,rating
24,Telegram,Пикок,5,0,,,rating
25,Telegram,"Перестали работать прокси! Отправка видео нескольким контактам не дает выбора качества и других параметров. Очень греется смартфон! При смене ориентации и выходе из полноэкранного просмотра видео не происходит возврат позиции к исходному сообщению чата и перескакивает на другую далеко находящуюся позицию. Не работает в чате поиск по имени пользователя, ищет все равно по тексту.",1,31,,,bug_report
26,Telegram,"Дуров, пожалуйста добавьте функцию, с помощью которой можно будет скрывать папки с чатами.",5,0,,,feature_request
27,Telegram,"не грузят гс, видео, фото, кружки ни с впн, ни с вайфаем, ни с мобильным интернетом, ни со всем вместе. Паша Дуров памаги!!!",4,0,,,user_experience
28,Telegram,телеграм сам ставит всплывающие сообщения,3,0,,,user_experience
29,Telegram,"дернул черт обновить. Теперь когда прикреплять изображение, не видно что пишется под ним. Невозможно прокомментировать картинку, которую отправляешь.",1,0,,,user_experience
30,Telegram,"много багов, и один из них, предпросмотр сообщений работает только в плавающем окне, либо если у человека есть история. сделайте пожалуйста нормально",3,0,,,bug_report
31,Telegram,Я хочу спокойно пообщаться без этого тупого премиум но нету кнопки пользоваться телеграмом без стикеров пожалуйста сделайте кнопку которая позволяет зайти в telegram но без премиум telegram,3,0,,,feature_request
32,Telegram,"Во время набора сообщения текст может пропасть, если приходит уведомление из другого чата. И приходится набирать заново. Бесит.",4,0,,,user_experience
33,Telegram,имба приложение,5,0,,,rating
34,Telegram,"Лучшее приложение , которым я пользовался. Павел, мы с тобой",5,0,,,user_experience
35,Telegram,"connection_layer_invalid неизвестная ошибка. после обновления. чистка кэша не помогла. и так прокси бывало долго ищет, а теперь совсем не работает. знал бы – не обновлял. зашел с компьютера, вышел с телефона, а теперь вообще в аккаунт нельзя войти. супер обновление",3,0,,,bug_report
36,Telegram,я скучаю по тг.,5,0,,,rating
37,Telegram,а у меня телеграм вовсе не работает.,1,0,,,bug_report
38,Telegram,отличное предложение,5,0,,,rating
39,Telegram,Я не знаю удалил все,4,0,,,user_experience
40,Telegram,говорю коротко и ясно:макс альтушка а телеграм пушка,5,0,,,user_experience
41,Telegram,"всё отлично, то, что нужно заходить с впном совсем не волнует. работало и до блокировали идеально, и сейчас. но только пожалуйста, перестаньте менять интерфейс. верните старый на андроидах.",4,0,,,user_experience
42,Telegram,гуд,5,0,,,rating
43,Telegram,не работает и прокси не помогает,1,0,,,bug_report
44,Telegram,"всё хорошо, но в нашем регионе приложение заблокировали.",5,0,,,user_experience
45,Telegram,Ну что же,5,0,,,rating
46,Telegram,для тех кому не нравится интерфейс новый существует Telegram X приложение хорошее как и мессенджер но когда работает в фоном режиме работает то батарея разряжается очень быстро,3,1,,,user_experience
